AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,DeviceRegistered,ViewingHoursPerWeek,ContentDownloadsPerMonth,UserRating,SupportTicketsPerMonth,WatchlistSize,ValuePerHour,High_Cost_Low_Usage,Support_Intensity
117,17.068723101660712,1997.0406028943032,0,2,33.57524273003885,43,2.7519271454420284,5,15,0.1270930720576498,0,0.0423728813559322
79,12.94924142083618,1022.9900722460584,0,1,5.769017778743507,25,3.89764879570231,6,12,0.5611544874846113,1,0.075
79,11.799480016657126,932.158921315913,1,2,12.156043807933264,39,1.2546047803521447,2,5,0.24266693918727128,0,0.025
22,19.44762152350002,427.8476735170004,2,2,18.394357681512027,47,4.013816732561738,2,0,0.2643150361093008,1,0.08695652173913043
20,12.804207414295096,256.0841482859019,0,1,9.89209823308941,44,4.523251127717837,3,22,0.3235968443951491,1,0.14285714285714285
111,17.127743053052136,1901.1794788887871,0,0,25.163393823831793,16,1.3061928433655856,8,12,0.1701652706586173,0,0.07142857142857142
78,11.427302144067788,891.3295672372875,1,1,14.433487208896512,30,3.8062016346762575,2,8,0.19793037158570137,0,0.02531645569620253
15,7.619601781546791,114.29402672320188,1,2,27.916687255368203,47,1.2797671454985058,0,18,0.06823518889984342,0,0.0
66,16.75754307201349,1105.9978427528904,0,3,38.346313480432954,1,4.396524887586014,5,18,0.10925132980066692,0,0.07462686567164178
97,15.477990538039403,1501.3650821898225,0,1,2.971856441615699,7,4.225581491820331,7,3,1.3020471833068554,1,0.07142857142857142
47,19.52269381512612,917.5666093109276,1,2,37.4272191593815,40,2.987756007237184,5,16,0.1304043829811771,0,0.10416666666666667
107,5.850457590285052,625.9989621605006,1,1,28.080260961007113,36,4.492110060272971,8,7,0.05208692278823733,0,0.07407407407407407
53,10.107309993558268,535.6874296585881,0,1,9.457321452828907,23,3.2625231420303464,0,8,0.26718214498653814,0,0.0
14,13.701609043135903,191.82252660390267,0,2,37.49500728807353,43,4.092615335662707,1,7,0.09135622275327514,0,0.06666666666666667
70,5.138129814496793,359.6690870147755,1,0,21.963401725095057,46,1.147693018224606,2,9,0.05848513154204286,0,0.028169014084507043
81,10.001660906172903,810.1345334000054,1,0,25.61041115744283,48,2.094469075243964,7,22,0.09763276297141255,0,0.08536585365853659
117,11.209140762235478,1311.469469181551,0,2,17.177242778837808,12,2.79444109978923,9,6,0.1631394040274267,0,0.07627118644067797
95,6.2209000161203205,590.9855015314305,0,0,28.898373494435457,32,1.7012983459268058,7,5,0.05381704236313808,0,0.07291666666666667
58,8.346908023722635,484.1206653759128,1,2,36.54476149183295,15,3.741044851294824,5,19,0.05710057766068217,0,0.0847457627118644
1,9.826478313653563,9.826478313653563,1,1,21.55261950571301,24,1.6285510437747743,0,9,0.1139824117094725,0,0.0
17,7.850301516176759,133.45512577500492,0,3,29.934941264016334,31,4.202949851317961,6,4,0.06556135672171799,0,0.3333333333333333
70,13.077240788738369,915.4068552116858,0,3,33.29601800330542,5,2.5695811371410815,7,4,0.09818922407816844,0,0.09859154929577464
19,16.148617518612838,306.82373285364395,2,2,32.21625468507028,47,3.950642356376964,3,10,0.12531420513619057,0,0.15
50,8.594131000414356,429.70655002071777,1,1,10.560727803871734,46,3.949888697769616,2,0,0.20344551428117708,0,0.0392156862745098
49,5.923830698225912,290.2677042130697,2,1,37.601859050797025,39,4.44214915224881,2,20,0.039385224616408455,0,0.04
