AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,DeviceRegistered,ViewingHoursPerWeek,ContentDownloadsPerMonth,UserRating,SupportTicketsPerMonth,WatchlistSize,ValuePerHour,High_Cost_Low_Usage,Support_Intensity
52,5.427354778721456,282.22244849351574,0,0,34.15391515882203,0,2.8126747736145457,1,10,0.039727178813052995,0,0.018867924528301886
75,10.956201424934031,821.7151068700525,0,2,18.78306383478509,21,3.163773219720914,6,21,0.14582553625574937,0,0.07894736842105263
113,18.01225913683401,2035.3852824622431,0,2,22.736224131792987,43,3.2331913772190743,6,22,0.19805684348051814,0,0.05263157894736842
48,7.907558998775766,379.5628319412368,0,2,19.799034459556175,45,3.058734406491902,2,12,0.09984778569541701,0,0.04081632653061224
82,19.351769154432393,1586.8450706634562,2,1,18.30648165884999,31,1.4907495296596216,3,1,0.26427482783231965,1,0.03614457831325301
68,11.17914964089835,760.1821755810878,0,2,2.0334260233850854,0,1.0182444934383286,7,15,1.3744229581423615,0,0.10144927536231885
111,5.070147464545288,562.7863685645269,0,3,21.563064978631697,36,2.148468158941716,7,10,0.05878277820859002,0,0.0625
11,9.213191069558818,101.345101765147,2,1,26.29433505956619,23,1.222527563393093,1,7,0.0875967299485574,0,0.08333333333333333
9,14.135737811188555,127.221640300697,1,2,29.542867901610222,12,2.5207771736988955,5,5,0.1196205617060124,0,0.5
40,14.641298167716808,585.6519267086724,1,1,35.50911832087045,40,1.8353254028202883,8,21,0.10308125673111546,0,0.1951219512195122
35,5.0314390062963845,176.10036522037345,1,0,8.840755810944334,38,1.797771380338622,7,17,0.1422796623357632,0,0.19444444444444445
46,13.177143943556558,606.1486214036017,2,3,19.44747718496411,6,3.976484347450505,5,16,0.16939400183156553,1,0.10638297872340426
72,5.759040152313967,414.6508909666056,1,1,13.745595396427746,45,2.113997415452635,0,21,0.10474337389944285,0,0.0
11,10.654964799441595,117.20461279385756,1,3,26.389116488685083,3,2.800137382572324,5,20,0.10094090118562843,0,0.4166666666666667
83,15.3395188889942,1273.1800677865183,2,1,17.514647935430663,39,3.6851698871605767,7,3,0.2189527152578905,1,0.08333333333333333
47,12.981695207835983,610.1396747682912,1,0,20.37721962171859,0,1.3734724413493922,4,14,0.15926725344315057,1,0.08333333333333333
26,10.935867184576548,284.3325467989902,1,1,38.62810292548477,10,1.5030249611819535,8,8,0.0707766260594799,0,0.2962962962962963
111,15.547825451714331,1725.8086251402908,1,1,27.464263106252105,40,4.451149755587174,8,22,0.14152778641432898,0,0.07142857142857142
74,18.90041254328886,1398.6305282033754,0,2,39.85111254026445,41,1.3263405857867117,7,1,0.11856891400580354,0,0.09333333333333334
