AccountAge,MonthlyCharges,TotalCharges,ViewingHoursPerWeek,ContentDownloadsPerMonth,UserRating,SupportTicketsPerMonth,WatchlistSize,ValuePerHour,Support_Intensity,SubscriptionType_Basic,SubscriptionType_Premium,SubscriptionType_Standard,DeviceRegistered_Computer,DeviceRegistered_Mobile,DeviceRegistered_TV,DeviceRegistered_Tablet,High_Cost_Low_Usage_0,High_Cost_Low_Usage_1
117,17.068723101660712,1997.0406028943032,33.57524273003885,43,2.7519271454420284,5,15,0.12709307300398004,0.0423728813559322,True,False,False,False,False,True,False,True,False
79,12.94924142083618,1022.9900722460584,5.769017778743507,25,3.89764879570231,6,12,0.5611545118022035,0.075,True,False,False,False,True,False,False,False,True
79,11.799480016657126,932.158921315913,12.156043807933264,39,1.2546047803521447,2,5,0.24266694417793563,0.025,False,True,False,False,False,True,False,True,False
22,19.44762152350002,427.8476735170004,18.394357681512027,47,4.013816732561738,2,0,0.2643150397016393,0.08695652173913043,False,False,True,False,False,True,False,False,True
20,12.804207414295096,256.0841482859019,9.89209823308941,44,4.523251127717837,3,22,0.32359685257331405,0.14285714285714285,True,False,False,False,True,False,False,False,True
111,17.127743053052136,1901.1794788887871,25.163393823831793,16,1.3061928433655856,8,12,0.17016527234922066,0.07142857142857142,True,False,False,True,False,False,False,True,False
78,11.427302144067788,891.3295672372875,14.433487208896512,30,3.8062016346762575,2,8,0.19793037501401997,0.02531645569620253,False,True,False,False,True,False,False,True,False
15,7.619601781546791,114.29402672320188,27.916687255368203,47,1.2797671454985058,0,18,0.06823518951090436,0.0,False,True,False,False,False,True,False,True,False
66,16.75754307201349,1105.9978427528904,38.346313480432954,1,4.396524887586014,5,18,0.1092513305129344,0.07462686567164178,True,False,False,False,False,False,True,True,False
97,15.477990538039403,1501.3650821898225,2.971856441615699,7,4.225581491820331,7,3,1.3020472928383224,0.07142857142857142,True,False,False,False,True,False,False,False,True
47,19.52269381512612,917.5666093109276,37.4272191593815,40,2.987756007237184,5,16,0.13040438385223022,0.10416666666666667,False,True,False,False,False,True,False,True,False
107,5.850457590285052,625.9989621605006,28.080260961007113,36,4.492110060272971,8,7,0.05208692325196987,0.07407407407407407,False,True,False,False,True,False,False,True,False
53,10.107309993558268,535.6874296585881,9.457321452828907,23,3.2625231420303464,0,8,0.2671821520493769,0.0,True,False,False,False,True,False,False,True,False
14,13.701609043135903,191.82252660390267,37.49500728807353,43,4.092615335662707,1,7,0.09135622336239772,0.06666666666666667,True,False,False,False,False,True,False,True,False
70,5.138129814496793,359.6690870147755,21.963401725095057,46,1.147693018224606,2,9,0.058485132207754066,0.028169014084507043,False,True,False,True,False,False,False,True,False
81,10.001660906172903,810.1345334000054,25.61041115744283,48,2.094469075243964,7,22,0.0976327639244699,0.08536585365853659,False,True,False,True,False,False,False,True,False
117,11.209140762235478,1311.469469181551,17.177242778837808,12,2.79444109978923,9,6,0.16313940640178043,0.07627118644067797,True,False,False,False,False,True,False,True,False
