AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled
117,17.068723101660712,1997.0406028943032,0,0,0,1,0,2,33.57524273003885,15.562321134475658,43,0,2.7519271454420284,5,0,15,1,1
79,12.94924142083618,1022.9900722460584,0,0,1,1,0,1,5.769017778743507,156.1248199653133,25,0,3.89764879570231,6,1,12,0,1
79,11.799480016657126,932.158921315913,1,2,0,1,1,2,12.156043807933264,98.1370642178178,39,4,1.2546047803521447,2,0,5,0,1
22,19.44762152350002,427.8476735170004,2,2,0,1,0,2,18.394357681512027,103.3689106025399,47,3,4.013816732561738,2,1,0,1,1
20,12.804207414295096,256.0841482859019,0,2,1,1,1,1,9.89209823308941,133.39172758957056,44,4,4.523251127717837,3,0,22,0,0
111,17.127743053052136,1901.1794788887871,0,2,1,1,1,0,25.163393823831793,52.34669973044715,16,1,1.3061928433655856,8,1,12,1,0
78,11.427302144067788,891.3295672372875,1,0,1,0,1,1,14.433487208896512,146.49971627238477,30,2,3.8062016346762575,2,0,8,0,1
15,7.619601781546791,114.29402672320188,1,3,1,2,1,2,27.916687255368203,97.41165579159198,47,4,1.2797671454985058,0,0,18,1,1
66,16.75754307201349,1105.9978427528904,0,1,1,0,1,3,38.346313480432954,110.5742643345466,1,3,4.396524887586014,5,1,18,0,1
97,15.477990538039403,1501.3650821898225,0,2,1,0,0,1,2.971856441615699,106.8135907163383,7,2,4.225581491820331,7,0,3,1,0
47,19.52269381512612,917.5666093109276,1,2,1,0,1,2,37.4272191593815,168.05352883550498,40,1,2.987756007237184,5,0,16,0,1
107,5.850457590285052,625.9989621605006,1,3,0,2,0,1,28.080260961007113,137.27264060156233,36,1,4.492110060272971,8,1,7,1,1
53,10.107309993558268,535.6874296585881,0,3,0,1,0,1,9.457321452828907,130.78351666827257,23,0,3.2625231420303464,0,0,8,1,0
14,13.701609043135903,191.82252660390267,0,1,0,2,1,2,37.49500728807353,41.71023722711958,43,1,4.092615335662707,1,1,7,0,0
70,5.138129814496793,359.6690870147755,1,2,1,0,1,0,21.963401725095057,63.67768643565146,46,0,1.147693018224606,2,1,9,1,1
81,10.001660906172903,810.1345334000054,1,3,0,0,1,0,25.61041115744283,109.81758977012822,48,1,2.094469075243964,7,0,22,1,1
117,11.209140762235478,1311.469469181551,0,1,0,0,1,2,17.177242778837808,33.47520517949944,12,1,2.79444109978923,9,0,6,1,0
95,6.2209000161203205,590.9855015314305,0,1,0,0,1,0,28.898373494435457,37.88361480592194,32,2,1.7012983459268058,7,0,5,0,1
58,8.346908023722635,484.1206653759128,1,0,1,1,0,2,36.54476149183295,35.14286504365022,15,2,3.741044851294824,5,0,19,0,0
1,9.826478313653563,9.826478313653563,1,1,1,1,0,1,21.55261950571301,170.05521430325712,24,4,1.6285510437747743,0,1,9,1,0
17,7.850301516176759,133.45512577500492,0,1,1,2,0,3,29.934941264016334,154.6655767021822,31,4,4.202949851317961,6,0,4,0,0
70,13.077240788738369,915.4068552116858,0,1,0,2,0,3,33.29601800330542,127.6576717148159,5,1,2.5695811371410815,7,0,4,0,1
19,16.148617518612838,306.82373285364395,2,1,1,0,0,2,32.21625468507028,72.71647297454587,47,0,3.950642356376964,3,0,10,0,0
50,8.594131000414356,429.70655002071777,1,2,0,2,1,1,10.560727803871734,108.16597188178191,46,2,3.949888697769616,2,1,0,1,1
49,5.923830698225912,290.2677042130697,2,0,1,1,1,1,37.601859050797025,164.17275228579862,39,2,4.44214915224881,2,0,20,1,0
75,8.661804476140734,649.6353357105551,0,1,0,2,1,0,10.883533192176062,85.63986500256517,5,2,4.5868640281037525,3,0,24,0,0
108,8.060048692391995,870.4852587783354,1,0,0,0,0,0,28.36059794968217,20.760308378660504,1,3,2.8708026137649707,7,0,8,1,1
54,10.151722683399754,548.1930249035868,2,2,1,1,1,1,21.261095444125655,175.25851337344213,8,4,2.2910226969860186,6,0,8,1,1
22,5.934744481393922,130.56437859066628,2,0,1,2,1,3,23.99975946745216,93.4865521482986,36,4,3.81002384977871,5,1,14,1,0
90,13.050761791038765,1174.568561193489,2,0,0,0,1,1,32.90596865181108,104.72623623007352,46,1,4.26855175272836,1,1,13,0,1
39,14.0319446159639,547.2458400225921,0,3,1,0,1,0,12.876407353295235,175.40519845210912,21,1,3.26464534770376,0,1,20,1,1
14,10.942329798474145,153.19261717863802,0,2,1,1,1,0,20.69149767311404,173.066242971411,28,0,1.0600526607479517,8,1,5,0,1
107,14.895517645336074,1593.82038805096,0,3,0,1,0,1,33.772569631795804,176.74913294006,15,3,4.3830893728031075,3,1,4,1,0
32,17.44448401989684,558.2234886366989,0,1,0,2,1,2,3.6865296374355383,102.15018459127964,14,4,4.23086544621381,9,1,13,0,0
13,16.51734964293675,214.72554535817775,1,1,1,1,1,2,24.042698545446584,71.478185408795,5,0,4.563269988983878,4,1,14,0,0
72,5.709316924490247,411.0708185632978,1,1,1,2,0,3,16.669216888672118,76.59548898276283,48,2,2.6069225601194557,6,0,1,1,1
61,7.575289841538207,462.09268033383063,2,0,0,2,1,1,12.541483602714685,116.4246209526965,36,1,2.4583686341967166,4,1,9,1,0
61,10.656166427818512,650.0261520969292,0,1,0,1,0,0,11.71938081890426,35.04078800772772,41,1,4.503038851757483,1,0,5,1,1
80,8.844795119557585,707.5836095646068,1,3,1,2,1,3,1.0109590983485015,149.56156135036912,45,3,2.536925559387217,0,0,0,1,0
36,6.750154402754878,243.0055584991756,1,3,0,1,0,1,33.46343827581231,22.623817413220987,17,3,2.4921278361724006,4,1,8,0,1
89,10.641284940131255,947.074359671682,0,1,1,1,1,0,5.705463526062182,58.35371119855725,44,4,3.7028439427263047,9,0,20,1,0
84,16.04816478341357,1348.0458418067396,1,0,1,0,0,1,12.181414397633551,54.60690630722443,28,0,2.6682135167221306,4,0,23,1,0
69,5.149960314184049,355.34726167869934,0,2,0,0,1,2,31.8046499974433,85.84914576364419,21,2,3.6184568365865,3,1,18,0,1
